poiID,starSite,xmlID,city,Image to include,SEO file name,number,source,photographer,agency description,credit,caption,type,labelID,cutawayNumber,title,description,imageID,highlights,imageName,leftPosition,topPosition,info
,Palacio Real,,madrid,TRUE,palacio_real_1_artwork,,,,,,,cutaway-artwork,,,,,,,,,,
,Palacio Real,EWTG_MADRID058PALREA_004,madrid,FALSE, ,,,,,,,cutaway,,,Plaza de Armas,"The square forms the entrance to the Pharmacy, the Palace and the Royal Armoury. At noon, on the first Wednesday of each month, visitors can see the changing of the guard. |",,,,,,
,Palacio Real,EWTG_MADRID058PALREA_005,madrid,TRUE,palacio_real_entrance_hall_madrid_dk_order_rr112p0pos_c,"order RR112, p0, pos C",dk,,,&#169;dkimages,,cutaway,,,Entrance Hall,"A marble staircase by Sabatini, next to the statue of Carlos III as a Roman emperor, leads to the main floor. The painted Rococo ceiling by Giaquinto vividly depicts allegorical scenes. |",,,,,,to be ordered from archive
,Palacio Real,EWTG_MADRID058PALREA_006,madrid,TRUE,palacio_real_pharmacy_madrid_dk_al562686,AL562686,dk,,,&#169;dkimages,,cutaway,,,Pharmacy,"<p>The royal pharmacy was created at the end of the 16th century to supply herbal medicines to the court. Glass retorts, pestles, mortars and jars fill the gilded shelves, while the reconstructed distillery shows how they might have been used.</p>",,,,,,
,Palacio Real,EWTG_MADRID058PALREA_007,madrid,TRUE,palacio_real_throne_room_madrid_dk_order_trans_al791957_is_low_res,order trans - AL791957 is low-res,dk,,,&#169;dkimages,,cutaway,,,Throne Room,This room is unique in the palace as it retains the original decor from the days of Carlos III. The huge mirrors were made in the royal glass factory of La Granja. | This room was designed for Charles III by Giovanni Battista Natale as a glorification of the Spanish monarchy. The bronze lions guarding the throne were made in Rome in 1651.,,,,,,to be ordered from archive
,Palacio Real,EWTG_MADRID058PALREA_008,madrid,TRUE,palacio_real_gasparini_room_madrid_dk_al561445,AL561445,dk,,,&#169;dkimages,,cutaway,,,Gasparini Room,"<p>Named after its Neapolitan designer, the Gasparini Room is decorated with lavish Rococo chinoiserie. The adjacent antechamber, with painted ceiling and ornate chandelier, houses Goya&rsquo;s portrait of Carlos IV.</p>",,,,,,
,Palacio Real,EWTG_MADRID058PALREA_009,madrid,TRUE,palacio_real_porcelain_room_madrid_dk_al561449,AL561449,dk,,,&#169;dkimages,,cutaway,,,Porcelain Room,"<p>The walls and ceiling of this room, built on the orders of Carlos III, are entirely covered in royal porcelain from the Buen Retiro factory. Most of the porcelain is green and white, and depicts cherubs and wreaths.</p>",,,,,,
,Palacio Real,EWTG_MADRID058PALREA_010,madrid,FALSE, ,,,,,,,cutaway,,,Dining Room,"This gallery was decorated in 1879. Its chandeliers, ceiling paintings and tapestries evoke the grandeur of Bourbon and Habsburg entertaining. |",,,,,,
,Palacio Real,EWTG_MADRID060EXPPAL_002,madrid,TRUE,palacio_real_palace_madrid_dk_al1045830,AL1045830,dk,,,&#169;dkimages,Exterior of the Palacio Real,findOutMore,,,The Palace,"<p>Most of the limestone and granite building is the work of Italian Giovanni Battista Sachetti, with later modifications by other architects like Sabatini. So vast was the plan that construction lasted from 1738 to 1755, by which time Felipe V was dead. His son, Carlos III, became the first royal resident. The palace remained the official home of the Spanish royal family until Alfonso XIII left for exile in 1931. The distribution of rooms and the interior decoration were altered by successive monarchs. General Franco also used the palace &ndash; known at the time as the Palacio de Oriente &ndash; for official business, and would address the crowds from the balcony overlooking the Plaza de Oriente. Today it is used for state functions.</p><p>Visitors enter the palace from the Plaza de Armas. The main entrance is crowned by a pediment with a clock and two bells, one of which dates from 1637 and is a survivor of the fire which destroyed the old alc&aacute;zar. The interior is remarkable for its size and for the exuberant decor, carpets, tapestries and antique furnishings in many of the rooms.</p>",,,,,,
,Palacio Real,EWTG_MADRID060EXPPAL_005,madrid,TRUE,palacio_real_entrance_rooms_madrid_dk_order_at885p267pos_c,"order AT885, p267, pos C",dk,,,,,findOutMore,,,Entrance rooms,"The Toledo marble in the main stairway, presided over by ceiling frescoes by Corrado Giaquinto, provides a regal taste of what is to follow. The first port of call is the Salón de los Alabarderos (Hall of the Halberdiers, or palace guards), decorated with a fresco by Tiépolo. Adjoining it is the Salón de Columnas (Hall of Columns), which served as the banquet hall until the new dining hall was incorporated in the 19th century. Today it is used for receptions and functions – the charter by which Spain joined the EU was signed here, on the 19th-century table supported by sphinxes. There are five tapestries of the Deeds of the Apostles, based on cartoons by Raphael and originally commissioned by the Vatican. | Finally, visitors enter the Carlos III rooms through the 18th-century Rococo Salón del Trono (Throne Room), whose decor has remained constant throughout generations of rulers. Completed in 1772, it has two rock crystal chandeliers, numerous candelabra and mirrors, and walls of crimson velvet with silver embroidery. The twin thrones are recent (1977), while the bronze lions that guard them date from 1651. The room is used for functions, such as the royal reception on 12 October (the Día de la Hispanidad) or the yearly reception for the diplomatic corps posted in Madrid. |",,,,,,to be ordered from archive
