poiID,poiName,overview,xmlID,street,town,postcode,area,county,country,telephoneTitle1,telephone,telephone1,telephoneDetail1,telephoneTitle2,telephone2,telephoneDetail2,telephoneTitle3,telephone3,telephoneDetail3,url,url2,url3,ferry,tram,monorail,train,lightRail,tube,bus,openingTimes,monthsClosed,daysClosed,wheelchairAccess,wheelchairAccessText,foodAndDrink,Shop,guidedTours,audioTours,toursText,adult,concessions,child,childText,priceText,Price - Don’t Touch,currency,lat,long,indoor,timeInMins,unmissable,topChoice,theme,seoURL,metaTITLE,metaDESC,cuisine,priceCat,taxonomy - Don’t Touch,additional_info - Don’t touch,whatsOnTitle1,whatsOnTicketPrice1,whatsOnTheme1,whatsOnDescription1,boxOfficeTelephone1,whatsOnURL1,whatsOnStartDate1,whatsOnEndDate1,whatsOnRepeat1,whatsOnTitle2,whatsOnTicketPrice2,whatsOnTheme2,whatsOnDescription2,boxOfficeTelephone2,whatsOnURL2,whatsOnStartDate2,whatsOnEndDate2,whatsOnRepeat2,whatsOnTitle3,whatsOnTicketPrice3,whatsOnTheme3,whatsOnDescription3,boxOfficeTelephone3,whatsOnURL3,whatsOnStartDate3,whatsOnEndDate3,whatsOnRepeat3,whatsOnTitle4,whatsOnTicketPrice4,whatsOnTheme4,whatsOnDescription4,boxOfficeTelephone4,whatsOnURL4,whatsOnStartDate4,whatsOnEndDate4,whatsOnRepeat4,whatsOnTitle5,whatsOnTicketPrice5,whatsOnTheme5,whatsOnDescription5,boxOfficeTelephone5,whatsOnURL5,whatsOnStartDate5,whatsOnEndDate5,whatsOnRepeat5,whatsOnTitle6,whatsOnTicketPrice6,whatsOnTheme6,whatsOnDescription6,boxOfficeTelephone6,whatsOnURL6,whatsOnStartDate6,whatsOnEndDate6,whatsOnRepeat6,whatsOnTitle7,whatsOnTicketPrice7,whatsOnTheme7,whatsOnDescription7,boxOfficeTelephone7,whatsOnURL7,whatsOnStartDate7,whatsOnEndDate7,whatsOnRepeat7,whatsOnTitle8,whatsOnTicketPrice8,whatsOnTheme8,whatsOnDescription8,boxOfficeTelephone8,whatsOnURL8,whatsOnStartDate8,whatsOnEndDate8,whatsOnRepeat8,whatsOnTitle9,whatsOnTicketPrice9,whatsOnTheme9,whatsOnDescription9,boxOfficeTelephone9,whatsOnURL9,whatsOnStartDate9,whatsOnEndDate9,whatsOnRepeat9,whatsOnTitle10,whatsOnTicketPrice10,whatsOnTheme10,whatsOnDescription10,boxOfficeTelephone10,whatsOnURL10,whatsOnStartDate10,whatsOnEndDate10,whatsOnRepeat10,whatsOnTitle11,whatsOnTicketPrice11,whatsOnTheme11,whatsOnDescription11,boxOfficeTelephone11,whatsOnURL11,whatsOnStartDate11,whatsOnEndDate11,whatsOnRepeat11,whatsOnTitle12,whatsOnTicketPrice12,whatsOnTheme12,whatsOnDescription12,boxOfficeTelephone12,whatsOnURL12,whatsOnStartDate12,whatsOnEndDate12,whatsOnRepeat12,whatsOnTitle13,whatsOnTicketPrice13,whatsOnTheme13,whatsOnDescription13,boxOfficeTelephone13,whatsOnURL13,whatsOnStartDate13,whatsOnEndDate13,whatsOnRepeat13,whatsOnTitle14,whatsOnTicketPrice14,whatsOnTheme14,whatsOnDescription14,boxOfficeTelephone14,whatsOnURL14,whatsOnStartDate14,whatsOnEndDate14,whatsOnRepeat14,whatsOnTitle15,whatsOnTicketPrice15,whatsOnTheme15,whatsOnDescription15,boxOfficeTelephone15,whatsOnURL15,whatsOnStartDate15,whatsOnEndDate15,whatsOnRepeat15,whatsOnTitle16,whatsOnTicketPrice16,whatsOnTheme16,whatsOnDescription16,boxOfficeTelephone16,whatsOnURL16,whatsOnStartDate16,whatsOnEndDate16,whatsOnRepeat16,whatsOnTitle17,whatsOnTicketPrice17,whatsOnTheme17,whatsOnDescription17,boxOfficeTelephone17,whatsOnURL17,whatsOnStartDate17,whatsOnEndDate17,whatsOnRepeat17,whatsOnTitle18,whatsOnTicketPrice18,whatsOnTheme18,whatsOnDescription18,boxOfficeTelephone18,whatsOnURL18,whatsOnStartDate18,whatsOnEndDate18,whatsOnRepeat18,whatsOnTitle19,whatsOnTicketPrice19,whatsOnTheme19,whatsOnDescription19,boxOfficeTelephone19,whatsOnURL19,whatsOnStartDate19,whatsOnEndDate19,whatsOnRepeat19,related,Image Required,SEO file name,caption,credit,number,source,photographer,agency description,info,,imageName
,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
madrid_sight_0003,A 2 Velas,"<p><strong>A 2 Velas</strong> serves fresh, creative salads and tasty international dishes, such as Russian blinis and Vietnamese spring rolls. The cocktail list is similarly global.</p>",EWTG_MADRID169AROLA_001,Calle San Vicente Ferrer 16,Madrid,28004,Chueca and Malasaña,,Spain,,91 446 18 63,,,,,,,,,www.adosvelas.net,,,,,,,,Tribunal,,Daily,,"24, 25 & 31 Dec, 1 Jan",,,,,,,,,,,,,,EUR,40.42566235,-3.702859282,TRUE,,FALSE,FALSE,Food and Drink,,,,International,£,Where To Eat and Drink | | Around La Castellana |,cuisine: Café |,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE, ,,,,,,,,Food and Drink,
madrid_sight_0901,Adolfo Domínguez,"<p>The flagship store for leading Spanish designer <strong>Adolfo Dom&iacute;nguez</strong> is&nbsp;located close to the Retiro in Madrid&rsquo;s exclusive Salamanca shopping district. This elegant five-storey building provides the perfect showcase for Dom&iacute;nguez&rsquo;s lines of classic clothing, footwear and accessories for men, women and children.</p>",,Calle Serrano 5 ,Madrid,28002,Salamanca and Recoletos,,Spain,,91 577 47 44,,,,,,,,,http://www.adolfodominguez.com/,,,,,,,,Retiro,,10am–8:30pm Mon–Sat,,Sun,,,,,,,,,,,,,,EUR,40.421521,-3.688698,TRUE,,FALSE,FALSE,Shopping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE, ,,,,,,,,Shopping,
madrid_sight_0006,Ágatha Ruíz de la Prada,"<p>Men and women&rsquo;s fashions are sold at <strong>&Aacute;gatha Ru&iacute;z de la Prada</strong>, one of the country&rsquo;s most original designers. Noted for&nbsp;her daring use of colour,&nbsp;&Aacute;gatha Ru&iacute;z de la Prada&rsquo;s name&nbsp;can also be found on the accessories, stationery and household goods sold here.</p>",TT_MADRID083FASSHO_002,Calle de Serrano 27,Madrid,28001,Salamanca and Recoletos,,Spain,,91 319 05 01,,,,,,,,,www.agatharuizdelaprada.com/,,,,,,,,Serrano,,10am–8:30pm Mon–Sat,,Sun,,,,,,,,,,,,,,EUR,40.42681007,-3.687706148,TRUE,,FALSE,FALSE,Shopping,,,,,,Salamanca and Recoletos | Fashion Shops | Shopping |,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,gatha_ru_z_la_prada_madrid_glow_292353.jpg,Designs by the prestigious Ágatha Ruíz de la Prada,&#169;Glow Images/LOOK/Ingolf Pompe,292353,Glow,Ingolf Pompe,"Agatha Ruiz de la Prada fashion store, Madrid, Spain",,Shopping,
madrid_sight_0009,Al Hoceima,"<p><strong>Al Hoceima</strong>&nbsp;is one of the city’s best addresses for traditional Moroccan food. The menu includes delectable harira soup, couscous with a choice of sauces, and bastilla (meat pie).</p>",EWTG_MADRID169AROLA_017,Calle de la Farmacia 8,Madrid,28004,Chueca and Malasaña,,Spain,,91 531 94 11,,,,,,,,,,,,,,,,,"Chueca, Tribunal",,Daily,Aug,,,,,,,,,,,,,,,EUR,40.42388798,-3.69969964,TRUE,,FALSE,FALSE,Food and Drink,,,,International,£,Where To Eat and Drink | | Around La Castellana |,"cuisine: Moroccan | additional_info: Closed Mon, Tue |",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE, ,,,,,,,,Food and Drink,
madrid_sight_0011,Alboroque,"<p>Located in an&nbsp;elegantly restored mansion, with bold, modern artworks on the walls,&nbsp;<strong>Alboroque&nbsp;</strong>serves contemporary, fusion cuisine. Reservations are compulsory.</p>",,Calle de Atocha 34,Madrid,28012,Old Madrid,,Spain,,91 389 65 95,,,,,,,,,www.alboroquetradicion.es,,,,,,,,Antón Martín,,"Mon–Sat, Mon lunch only",,Sun,,,,,,,,,,,,,,EUR,40.41318155,-3.700971007,TRUE,,FALSE,FALSE,Food and Drink,,,,Contemporary Spanish,£££,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE, ,,,,,,,,Food and Drink,
madrid_sight_0902,Almendro 13,"<p>Tucked away in a side street in La Latina, the wood-panelled&nbsp;<strong>Almendro 13</strong>&nbsp;is famed for its <em>huevos rotos </em>(fried eggs on a bed of crisps) and <em>roscas rellenas</em> (rings of bread filled with jam&oacute;n and other meats) washed down with a chilled <em>fino</em>. You&rsquo;ll struggle to get a table at weekends, so be prepared to eat standing up while you soak up the atmosphere.</p>",,Calle Almendro 13,Madrid,28005,Old Madrid,,Spain,,91 365 42 52,,,,,,,,,,,,,,,,,La Latina,,Daily,,,,,,,,,,,,,,,,EUR,40.412456,-3.710013,TRUE,,FALSE,FALSE,Food and Drink,,,,Contemporary Spanish,££,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE, ,,,,,,,,Food and Drink,
madrid_sight_0015,Almirante 23,"<p>If it&rsquo;s collectable, they collect it at <strong>Almirante 23</strong>&nbsp;&ndash; postcards, perfume containers, tobacco tins, cameras, sunglasses, cinema programmes, menus, cigarette cards, the lot. You will find it difficult to drag yourself away.</p>",TT_MADRID121SPESHO_007,Calle del Almirante 23,Madrid,28004,Chueca and Malasaña,,Spain,,91 308 12 02,,,,,,,,,www.almirante23.net/,,,,,,,,"Chueca, Banco de España, Colón",,"11am–1:30pm & 5–7:30pm Mon–Fri, 11am–1:30pm Sat",,"Sun, public hols",,,,,,,,,,,,,,EUR,40.422474,-3.693012,TRUE,,FALSE,FALSE,Shopping,,,,,,Chueca and Malasaña | Specialist Shops | Shopping |,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE, ,,,,,,,,Shopping,
madrid_sight_0017,Ana La Santa,<p>A wide variety of local and international tapas dishes span the menu at <strong>Ana La Santa</strong>. The atmosphere is relaxed and the lovely &ldquo;greenhouse&rdquo; area is a picturesque seating option.</p>,EWTG_MADRID166OLDMAD_014,"Hotel ME, Plaza de Santa Ana 14",Madrid,28012,Old Madrid,,Spain,,91 701 60 13,,,,,,,,,www.restauranteanalasanta.com,,,,,,,,Antón Martín,,Daily,,,TRUE,,,,,,,,,,,,,EUR,40.414561,-3.701422,TRUE,,FALSE,FALSE,Food and Drink,,,,Tapas,££,Where To Eat and Drink | | Old Madrid |,cuisine: Mediterranean |,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,ana_santa_madrid.jpg,Contemporary Ana La Santa restaurant,&#169;Ana la Santa/Jose Taltavull,,,Jose Taltavull,,,Food and Drink,
madrid_sight_0019,Antigua Casa Talavera,"<p>Dating back to the early 20th century, <strong>Antigua Casa Talavera</strong> sells ceramics that are handmade by Spanish potters.</p><p>Regional styles are represented from all the major centres of ceramics production in Spain, including the famous blue and yellow designs from Talavera de la Reina. Items include decorative tiles, plates, vases, sangria pitchers and reproductions of museum pieces.</p>",TT_MADRID048TOP10_023_R13,Calle de Isabel La Católica 2,Madrid,28013,Royal Madrid,,Spain,,91 547 34 17,,,,,,,,,www.antiguacasatalavera.com/,,,,,,,,Santo Domingo,,"10am–1:30pm & 5–8pm Mon–Fri, 10am–1:30pm Sat",First half of Aug,"Sun, public hols",,,,,,,,,,,,,,EUR,40.420793,-3.708971,TRUE,,FALSE,Shopping,Shopping,Antigua Casa Talavera | Madrid | DK Trip Planner,"Dating back to the early 20th century, Antigua Casa Talavera sells ceramics that are handmade by Spanish potters. Find out more with DK Trip Planner.",,,,Top 10 Spanish Theme Shops |,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE, ,,,,,,,nothing available,Shopping,
