poiID,type,poiName,overview,xmlID,street,town,postcode,area,county,country,telephoneDetail2,telephone,telephoneTitle1,telephone1,telephoneDetail1,telephoneTitle2,telephone2,telephoneTitle3,telephone3,telephoneDetail3,url,train ,tube,tram,bus,openingTimes,monthsClosed,daysClosed,wheelchairAccess,wheelchairAccessText,foodAndDrink,Shop,guidedTours,audioTours,toursText,Price - to be deleted once entered,adult,concessions,child,childText,currency,lat,long,indoor,timeInMins,unmissable,topChoice,theme,taxonomy - to be deleted later,cuisine,priceCat,additional_info,Image Required,SEO file name,caption,credit,number,source,photographer,agency description,info,imageName
rome_sight_0002,catalogue,‘Gusto,"<p><strong>&lsquo;Gusto</strong> is the trendiest thing going: restaurant, pizzeria and Thai wine bar combined.</p>",TT_ROME117PLAEAT_003,Piazza Augusto Imperatore 9,Rome,00186,Villa Borghese & Northern Rome,,Italy,,06 322 6273,,,,,,,,,www.gusto.it,,Spagna,,"81, 590, 628, 926",OPENING HOURS,,,,,FALSE,,,,,"For a three-course meal for one with half a bottle of wine (or equivalent meal), taxes and extra charges. : €40–50",,,,,EUR,41.90657186,12.4760944733333,TRUE,,FALSE,,Food and Drink,The Spanish Steps and Villa Borghese | Places to Eat | Restaurant |,"International, fusion",,,FALSE,,,,,,,,,#VALUE!
rome_sight_0003,,"0,75","<p>Named for the size of a bottle of wine, friendly <strong>0,75</strong> offers a meal at nearly any time of day.</p>",,Via dei Cerchi 65,Rome,00186,Ancient Rome,,Italy,,06 687 5706,,,,,,,,,www.075roma.com,,Circo Massimo,Aventino- Circo Massimo,"81, 85, 87, 122, 160, 160F, 628, C3",Daily,,,,,,,,,,,,,,,EUR,41.8879,12.484038,TRUE,,FALSE,,Food and Drink,,Enoteca,£,,FALSE,,,,,,,,,#VALUE!
,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,#VALUE!
rome_sight_0005,catalogue,Abbey Theatre Irish Pub,"<p>Comfortable and cosy, the <strong>Abbey Theatre Irish Pub</strong> is pleasantly removed from the hubbub of nightlife nearby. Basic snacks are served and customers can use the internet.</p>",TT_ROME088CHICAF_003,Via del Governo Vecchio 51–53,Rome,00186,Piazza Navona & Campo de’ Fiori,,Italy,,06 6861 341,,,,,,,,,abbey-rome.com,,Barberini,,"40, 46, 62, 64, 87, 186, 492, 916, 90N",OPENING HOURS,,,,,,,,,,,,,,,EUR,41.8983277588474,12.4703799807517,TRUE,,FALSE,,Cafes and Bars,Around Piazza Navona | Chic Cafés and Bars | Restaurant |,,,,FALSE,,,,,,,,,#VALUE!
rome_sight_0006,,Abruzzi ai SS Apostoli,<p><strong>Abruzzi ai SS Apostoli</strong>’s&nbsp;wide selection of cold appetizers make an excellent start to a meal of specialties from the Abruzzo region.</p><p>&nbsp;</p><p>&nbsp;</p>,,Via del Vaccaro 1 ,Rome,00187,Piazza di Spagna & Trevi Fountain,,Italy,,06 679 3897,,,,,,,,,,,,,"53, 62, 63, 81, 83, 85, 117, 119, 160, 160F, 175, 492, 628, N4, N5",OPENING HOURS,,,,,,,,,,,,,,,EUR,41.898586,12.482711,TRUE,,FALSE,,Food and Drink,,Regional Italian,£,,FALSE,,,,,,,,,#VALUE!
rome_sight_0007,catalogue,Accademia Nazionale di San Luca,"<p>Named after the supposed painter St Luke, <strong>Accademia Nazionale di San Luca</strong> is Rome&rsquo;s academy of fine arts. Appropriately, the gallery contains a painting of <em>St Luke Painting a Portrait of the Virgin</em> by Raphael and his followers. The academy&rsquo;s heyday was in the 17<sup>th</sup> and 18<sup>th </sup>centuries, when many members gave their work to the collection, including Canova who donated a model for his famous marble group, <em>The Three Graces</em>. Of particular interest are the <strong>Accademia Nazionale di San Luca</strong>&rsquo;s three fascinating self-portraits painted by women: the 17th-century Italian Lavinia Fontana; the 18th-century Swiss Angelica Kauffmann, whose painting is copied from a portrait of her by Joshua Reynolds; and Elisabeth Vig&eacute;e-Lebrun, the French painter of the years before the 1789 Revolution.&nbsp;</p>",EWTG_ROME160ACCNAZ,Piazza dell’Accademia di San Luca 77,Rome,00187,Piazza di Spagna & Trevi Fountain,,Italy,,06 679 8850,,,,,,,,,www.accademiasanluca.it,,Barberini,,"52, 53, 61, 62, 63, 71, 80, 95, 116, 119 and many routes along Via del Corso and Via del Tritone. |",10am–1pm Mon–Fri (some rooms may be closed for restoration work),,,,,,,,,,,,,,,EUR,41.90155,12.483609,TRUE,,FALSE,,Art Galleries and Museums,QUIRINAL |,,,,,,,,,,,,,#VALUE!
rome_sight_0009,catalogue,Acqua e Farina?,"<p>True to its name, at <strong>Acqua e Farina?</strong> practically everything on the menu, from savouries to sweets, is concocted from water and flour into pastry-based treats made to an original recipe.</p>",TT_ROME125TRAROM_008,Piazza Orazio Giustiniani 2,Rome,00153,Ancient Rome,,Italy,,06 574 1382,,,,,,,,,,Porta S. Paolo,Piramide,Marmorata-Galvani,719,OPENING HOURS,,,,,,,,,,"For a three-course meal for one with half a bottle of wine (or equivalent meal), taxes and extra charges. : under €30",,,,,EUR,41.8761602233333,12.47383706,TRUE,,FALSE,,Food and Drink,Ancient Rome | Traditional Roman Restaurants | Restaurant |,,,,FALSE,,,,,,,,,#VALUE!
rome_sight_0010,catalogue,Africa,<p>Scoop up spicy vegetables and meats with spongy bread at <strong>Africa</strong>.</p>,TT_ROME137PLAEAT_010,Via Gaeta 26,Rome,00185 ,Piazza di Spagna & Trevi Fountain,,Italy,,06 494 1077,,,,,,,,,,Termini,"Termini, Repubblica, Castro Pretorio",Termini,"16, 75, 140, 492",Tue–Sun,,,TRUE,,,,,,,"For a three-course meal for one with half a bottle of wine (or equivalent meal), taxes and extra charges. : under €30",,,,,EUR,41.9054272917235,12.5018102440838,TRUE,,FALSE,,Food and Drink,The Quirinal and Via Veneto | Places to Eat | Restaurant |,African,,,FALSE,,,,,,,,,#VALUE!
rome_sight_0011,catalogue,Agata e Romeo,"<p>The eponymous couple of <strong>Agata e Romeo</strong> divide the labour expertly, she as chef and he as <em>ma&icirc;tre d&rsquo;</em>. The Liberty-style restaurant near Santa Maria Maggiore serves up creative Roman cuisine &ndash; rich and highly original concoctions of meat, fish and fresh vegetables, heavenly desserts and a menu <em>degustazione</em> for a sampling of each day&rsquo;s masterworks. Reservations are essential.</p>","TT_ROME074RESTAU_002_R12, TT_ROME131PLAEAT_001",Via Carlo Alberto 45,Rome,00185 ,Ancient Rome,,Italy,,06 446 6115,,,,,,,,,www.agataeromeo.it/,Termini Laziali,Vittorio Emanuele,Farini,"71, 360, 590, 649","Mon–Sat, Mon & Sat dinner only",,,TRUE,,,,,,,"For a three-course meal for one with half a bottle of wine (or equivalent meal), taxes and extra charges. : over €60",,,,,EUR,41.896096,12.501261,TRUE,,FALSE,Food and Drink,Food and Drink,,Fine Dining,£££,,,,,,,,,,,#VALUE!
rome_sight_0012,catalogue,Agustarello,"<p>Roman-style, heavy-duty dishes are the standard at <strong>Agustarello</strong>. Sample tripe, <em>coda alla vaccinara</em> (oxtail), <em>lingua</em> (tongue) and other peasant fare.</p>",TT_ROME125TRAROM_002,Via Giovanni Branca 100,Rome,00153,Ancient Rome,,Italy,,06 574 6585,,,,,,,,,,,Piramide,Marmorata- Vanvitelli,"83, 121, 170, 781",Mon–Sat,,Sun,,,,,,,,"For a three-course meal for one with half a bottle of wine (or equivalent meal), taxes and extra charges. : under €30",,,,,EUR,41.879423,12.473499,TRUE,,FALSE,,Food and Drink,Ancient Rome | Traditional Roman Restaurants | Restaurant |,,,additional_info: No credit cards |,FALSE,,,,,,,,,#VALUE!
rome_sight_0013,catalogue,Ai Monasteri,"<p>Monasteries from all across Italy supply their homemade honey, liqueurs, beauty products, elixirs and other products to be sold at <strong>Ai Monasteri</strong>.</p>",TT_ROME087SHOPS_002,Corso Rinascimento 72,Rome,00186,Piazza Navona & Campo de’ Fiori,,Italy,,06 6880 2783,,,,,,,,,www.emonasteri.it,,,,"30, 70, 81, 87, 116, 116T, 130F, 186, 492, 628, C3, N7",OPENING HOURS,,,,,,,,,,,,,,,EUR,41.900191,12.473814,TRUE,,FALSE,,Shopping,Around Piazza Navona | Shops | Shopping |,,,,FALSE,,,,,,,,,#VALUE!
rome_sight_0014,,Ai Tre Scalini,"<p>One of the hippest wine bars in town, <strong>Ai Tre Scalini</strong> serves&nbsp;excellent wines, beers and savory delicacies.</p>",,Via Panisperna 251,Rome,00184,Ancient Rome,,Italy,,06 4890 7495,,,,,,,,,colosseoorg.wix.com/aitrescalini,,Cavour,,117,Daily,,,,,,,,,,,,,,,EUR,41.896298,12.490494,TRUE,,FALSE,,"Food and Drink, Cafes and Bars",,Enoteca ,£,,FALSE,,,,,,,,,#VALUE!
rome_sight_0017,catalogue,Al 34,<p><strong>Al 34</strong> has excellently priced menus featuring inventive Italian cooking.</p>,TT_ROME117PLAEAT_008,Via Mario de’ Fiori 34,Rome,00187,Piazza di Spagna & Trevi Fountain,,Italy,,06 679 5091,,,,,,,,,www.ristoranteal34.it,,Spagna and Barberini,,"116, 116T, 117, 119, 590","Daily, Mon dinner only",,,,,,,,,,"For a three-course meal for one with half a bottle of wine (or equivalent meal), taxes and extra charges. : €30–40",,,,,EUR,41.906102,12.480841,TRUE,,FALSE,,Food and Drink,The Spanish Steps and Villa Borghese | Places to Eat | Restaurant |,Italian,,,FALSE,,,,,,,,,#VALUE!
rome_sight_0018,,Al Bric,"<p><strong>Al Bric</strong>’s&nbsp;impeccable wine list is matched by the tempting creations from the kitchen, enjoyed in a cozy, romantic setting.</p>",,Via del Pellegrino 51,Rome,00186,Piazza Navona & Campo de’ Fiori,,Italy,,06 687 9533,,,,,,,,,www.albric.it,,,,"46, 62, 64, 116T, 571, 916, 916F, N5, N15, N20",Tue–Sun dinner only,,Mon,,,,,,,,,,,,,EUR,41.896461,12.471166,TRUE,,FALSE,,Food and Drink,,Fine Dining,£££,,FALSE,,,,,,,,,#VALUE!
rome_sight_0019,catalogue,Al Duello,"<p>Hearty Roman fare is served at&nbsp;<strong>Al Duello</strong>,&nbsp;named after the infamous duel in which the painter Caravaggio killed his opponent.</p>",,Vicolo della Vaccarella 11,Rome,00186,Piazza Navona & Campo de’ Fiori,,Italy,,06 687 3348,,,,,,,,,,,,,"30, 70, 81, 87, 130F, 186, 492, 628, N6, N7",OPENING HOURS,,,,,,,,,,,,,,,EUR,41.900969,12.47504,TRUE,,FALSE,,Food and Drink,,Traditional Roman,£,,FALSE,,,,,,,,,#VALUE!
rome_sight_0020,catalogue,Al Maharajah,"<p>Tandoori dishes are the speciality at <strong>Al Maharajah</strong>, an elegant Indian restaurant. Fixed menus are available.</p>",TT_ROME131PLAEAT_006_R12,Via dei Serpenti 124,Rome,00184,Ancient Rome,,Italy,,06 474 7144,,,,,,,,,www.maharajah-roma.com,,Cavour,,"40, 60, 64, 70, 71, 117, 170, H, N7, N8, N9, N15, N18",OPENING HOURS,,,TRUE,,,,,,,"For a three-course meal for one with half a bottle of wine (or equivalent meal), taxes and extra charges. : €30–40",,,,,EUR,41.8953473766667,12.4905006433333,TRUE,,FALSE,,Food and Drink,The Esquiline and Lateran | Places to Eat | Restaurant |,,,,FALSE,,,,,,,,,#VALUE!
rome_sight_0021,catalogue,Al Sogno,"<p>Enjoy a nostalgic trip browsing <strong>Al Sogno</strong>&rsquo;s precious dolls and doll&rsquo;s houses, (almost) life-size teddy bears and all kinds of wooden toys.</p>",TT_ROME087SHOPS_027_R12,Piazza Navona 53,Rome,00186,Piazza Navona & Campo de’ Fiori,,Italy,,06 686 4198,,,,,,,,,www.alsogno.com,,,,"30, 70, 81, 87, 116, 116T, 130F, 186, 492, 628, C3, N7",OPENING HOURS,,,,,,,,,,,,,,,EUR,41.900119,12.473138,TRUE,,FALSE,,"Shopping, Family Friendly",Around Piazza Navona | Shops | Shopping |,,,,FALSE,,,,,,,,,#VALUE!
rome_sight_0022,catalogue,Alberto di Castro,"<p>Etchings, lithographs and other prints from the 1660s to the 1920s are on sale at <strong>Alberto di Castro</strong>.</p>",TT_ROME113ARTANT_005,Via del Babuino 71,Rome,00187,Piazza di Spagna & Trevi Fountain,,Italy,,06 679 2269,,,,,,,,,www.dicastro.com,Flaminio,Spagna,,"117, 119","Gallery: 9am–1pm & 3:30–7:30pm Mon–Fri, 9am–1pm Sat",,Sun,,,,,,,,,,,,,EUR,41.9076487233333,12.4799614033333,TRUE,,FALSE,,Shopping,The Spanish Steps and Villa Borghese | Art and Antiques Shops | Shopping |,,,,FALSE,,,,,,,,,#VALUE!
rome_sight_0023,catalogue,Alexanderplatz,"<p>A little bit off the beaten track in Prati, <strong>Alexanderplatz</strong>&nbsp;is the best jazz club in Rome bar none, and&nbsp;has played host to the likes of Winton Marsalis, Lionel Hampton, George Coleman and many other international jazz stars. Excellent food is served &ndash; advance reservations are highly recommended.</p>","TT_ROME078PUBBAR_001, TT_ROME147LIVMUS_001",Via Ostia 9,Rome,00192,The Vatican,,Italy,,06 3974 2171,,,,,,,,,www.alexanderplatz.it,,Ottaviano and Cipro,,"490, 492, 496, 913, 913F, 913FL, 990, 991, 999, N1, N6",,,,,,,,,,,,,,,,EUR,41.9091540823777,12.4535805001605,TRUE,,FALSE,Entertainment and Nightlife,"Entertainment and Nightlife, Food and Drink, Cafes and Bars",,,,,TRUE,alexanderplatz_rome_dk_AL218993,"Interior, AlexanderPlatz Jazz Club",&#169;dkimages,AL218993,,,,,alexanderplatz_rome_dk_AL21
rome_sight_0024,catalogue,All Saints,"<p>In 1816 the Pope gave English residents and visitors the right to hold Anglican services in Rome, but it wasn&rsquo;t until the early 1880s that they acquired a site to build their own church, <strong>All Saints</strong>. The architect was G E Street, best known in Britain for his Neo-Gothic churches and the London Law Courts, and his style can be seen in the Victorian Neo-Gothic exterior of All Saints. Inside, though splendidly decorated with different coloured Italian marbles, the church has a very English air. The interior of Street&rsquo;s other church in Rome, St-Paul&rsquo;s-within-the-Walls in Via Nazionale, is a jewel of British Pre-Raphaelite art.</p><p>The street on which <strong>All Saints</strong> stands got its name from the Fontana del Sileno, known as Babuino (baboon) due to the sad condition in which it was found.</p>",EWTG_ROME135ALLSAI,Via del Babuino 153B,Rome,00187,Piazza di Spagna & Trevi Fountain,,Italy,,06 3600 1881,,,,,,,,,www.allsaintsrome.org,,Spagna,,"117, 119",8am–4pm daily,,,,,,,,,,,0,0,0,,EUR,41.908297,12.479146,TRUE,,FALSE,,Religious Buildings,"Churches, Temples and Shrines | PIAZZA DI SPAGNA |",,,church_services |,,,,,,,,,,#VALUE!
rome_sight_0026,,Ambasciata d’Abruzzo,"<p>Traditional Abruzzese dishes, such as <em>maccheroni</em> with lamb <em>rag&ugrave;</em>, mingle with Roman favourites in a convivial setting at <strong>Ambasciata d&rsquo;Abruzzo</strong>.</p>",,Via Pietro Tacchini 26,Rome,00197,Beyond the Centre,,Italy,,06 807 8256,,,,,,,,,www.ambasciatadiabruzzo.com,Euclide,,,"168, 223, 910, 926",OPENING HOURS,,,,,,,,,,"For a three-course meal for one with half a bottle of wine (or equivalent meal), taxes and extra charges. : over €60",,,,,EUR,41.923113,12.484618,TRUE,,FALSE,,Food and Drink,,Regional Italian,££,,FALSE,,,,,,,,,#VALUE!
rome_sight_0027,catalogue,Amphitheatrum Castrense,"<p>Dating from the 3rd-century, well-preserved <strong>Amphitheatrum Castrense</strong> was used for games and baiting animals. It owes its preservation to the fact that it was incorporated in the Aurelian Wall, which included several existing high buildings in its fortifications. <strong>Amphitheatrum Castrense</strong> is best seen from outside the walls, from where there is also a good view of the bell tower of Santa Croce in Gerusalemme.</p>",EWTG_ROME180AMPCAS,Viale Castrense 33,Rome,00182,Ancient Rome,,Italy,,,,,,,,,,,,Ponte Casilino,Re Di Roma,Carlo Felice,"16, 81, 649, 810",,,Closed to the public,,,,,,,,,0,0,0,,EUR,41.887041,12.515576,FALSE,,FALSE,,Ancient Ruins,LATERAN |,,,location: Between Piazza di Santa Croce in Gerusalemme and Viale Castrense. | transport - tram: 3. |,FALSE,,,,,,,,,#VALUE!
