itineraryID,City,itinerary,description-line-1,description-line-2,description-line-3,description-line-4,adults,children-under-7-years,Intensity,currency,budget,day,intro,morning,lunch,afternoon,evening,links-morning,links-lunch,links-afternoon,links-evening,poi-morning,poi-lunch,poi-afternoon,poi-evening,SEO file name,metaTITLE,metaDESC,credit,caption,imageName,info
rome_itinerary_0001_01,Rome,2 Days in Rome,Marvel at the wondrous Sistine Chapel,"See the sites of the ancient city, from the Colosseum to the Palatine",Roam the picturesque neighbourhood of Trastevere,,2,,,EUR,,0,"<p>With only two days in Rome you&rsquo;ll need to be selective. This whistlestop itinerary packs in a number of things to see and do, from the unmissable <strong>Sistine Chapel</strong> to the often overlooked neighbourhood of <strong>Trastevere</strong>. We&rsquo;ve provided several sights and attractions, as well as our pick of the best caf&eacute;s and restaurants, but you can edit or add your own as you wish.</p>","<p>Book online to avoid the queues at the <strong>Vatican Museums</strong>, the largest art collection in the world. Admire Michelangelo&rsquo;s masterpieces in the Sistine Chapel, then head to the vast, ornate basilica of <strong>St Peter&rsquo;s</strong>.</p>","<p>For lunch, feast on delicious Roman cuisine at <strong>Arl&ugrave;</strong>.</p>","<p>Cross the river via the Ponte Vittorio Emmanuel II to the heart of the historic centre. A brisk walk takes in all the major sights, from the Baroque splendour of <strong>Piazza Navona </strong>to the architectural marvel of the ancient <strong>Pantheon</strong>. Be sure to visit the <strong>Trevi Fountain</strong> and the <strong>Spanish Steps</strong> too.</p>",,"Vatican Museums, St Peter’s",Arlù,"Piazza Navona, Pantheon, Trevi Fountain, Spanish Steps",,"rome_sight_1162, rome_sight_1053",rome_sight_0048,"rome_sight_0706, rome_sight_0664, rome_sight_1128, rome_sight_1047",,sistine_chapel_rome_dreamstime_19808126,Rome in 2 Days | 2 Days in Rome Trip Plan,"Want to see Rome in 2 days? Plan a 2-day trip in Rome with DK Trip Planner, including the Vatican Museums and the Pantheon.",&#169;Dreamstime.com/Cosmin - Constantin Sava,"Michelangelo’s <em>Creation of Adam</em>, Sistine Chapel",sistine_chapel_rome_dreamstime_19808126,
rome_itinerary_0001_02,Rome,2 Days in Rome,Marvel at the wondrous Sistine Chapel,"See the sites of the ancient city, from the Colosseum to the Palatine",Roam the picturesque neighbourhood of Trastevere,,2,,,EUR,,1,,"<p>Take a trip to the <strong>Colosseum</strong>, Rome&rsquo;s spectacular amphitheatre, then stroll through the <strong>Forum</strong>, once the beating heart of the Empire. One ticket (buy at the entrance to the Forum) grants access to both sites, as well as the <strong>Palatine</strong>, where Rome&rsquo;s emperors had their palaces. Don&rsquo;t miss the beautiful, 2,000-year-old frescoes in the House of Livia.</p>","<p>Stop for lunch at <strong>0,75</strong>, a small and friendly <em>enoteca</em> serving delicious antipasti.</p>","<p>Take the glass elevator to the top of <strong>Il Vittoriano</strong> for some of the best views in town. From here, an easy walk will lead you via the ancient <strong>Portico of Ottavia</strong> to <strong>Campo de&rsquo; Fiori</strong>. The open-air market preserves the lively, bohemian atmosphere of the medieval inns that once flourished here. The area also contains Renaissance palazzi, including <strong>Palazzo Farnese</strong> and <strong>Palazzo Spada</strong>.</p>","<p>Cross <strong>Ponte Sisto</strong> to the picturesque neighbourhood of Trastevere for dinner at <strong>Spirito Divino</strong>, and a pleasant evening stroll.</p>","Colosseum, Forum, Palatine","0,75","Il Vittoriano, Portico of Octavia, Campo de’ Fiori, Palazzo Farnese, Palazzo Spada","Ponte Sisto, Spirito Divino","rome_sight_0173, rome_sight_0795, rome_sight_0568",rome_sight_0003,"rome_sight_0384, rome_sight_0767, rome_sight_0102, rome_sight_0626, rome_sight_0650","rome_sight_0758, rome_sight_1051",sistine_chapel_rome_dreamstime_19808126,Rome in 2 Days | Rome Day 2,"Want to see Rome in 2 days? Plan day 2 of your trip to Rome with DK Trip Planner, including the Vatican Museums and the Pantheon.",&#169;Dreamstime.com/Cosmin - Constantin Sava,"Michelangelo’s <em>Creation of Adam</em>, Sistine Chapel",sistine_chapel_rome_dreamstime_19808126,
rome_itinerary_0002_01,Rome,3 Days in Rome,Be awed by the magificent interiors of the Pantheon,Admire the art collection of the Borghese family,Make a wish at the Trevi Fountain,"Soak up the atmosphere in Rome’s loveliest square, Piazza Navona",2,,,EUR,,0,"<p>This special three-day itinerary will guide you around the best Rome has to offer at a relaxed pace. From the awe-inspiring <strong>Pantheon</strong> to the charming <strong>Piazza Navona</strong>, as well as a host of other sights and attractions, it will keep you occupied during your trip. Restaurant recommendations and tips for places to grab a drink are also included, and you can add your own ideas from our listings section.</p>","<p>A lifetime is not enough to see the whole of the <strong>Vatican Museums</strong>, so focus on highlights such as the awe-inspiring ancient sculpture <em>Laoco&ouml;n</em>, and the Renaissance treasures in the Raphael Rooms. Finish your visit with the magnificent Sistine Chapel and then see the grandest basilica of all, <strong>St Peter&rsquo;s</strong>.</p>","<p>Lunch at <strong>Veranda</strong>, which is set in a stunning frescoed palace.</p>","<p>A short walk from the Vatican is the imposing <strong>Castel Sant&rsquo;Angelo</strong>. Cross <strong>Ponte Sant&rsquo;Angelo</strong> to browse the antique shops lining <strong>Via dei Coronari</strong>, then continue on to Rome&rsquo;s loveliest square, <strong>Piazza Navona</strong>. Visit the <strong>Pantheon</strong> for stunning architecture, before moving on to <strong>Sant&rsquo;Ignazio di Loyola</strong> to see the trompe l&rsquo;oeil paintings housed within.</p>",,"Vatican Museums, St Peter’s",Veranda,"Castel Sant’Angelo, Ponte Sant’Angelo, Via dei Coronari, Piazza Navona, Pantheon, Sant’Ignazio di Loyola",,"rome_sight_1162, rome_sight_1053",rome_sight_1168,"rome_sight_0129, rome_sight_0757, rome_sight_1181, rome_sight_0706, rome_sight_0664, rome_sight_0913",,piazza_navona_rome_fotolia_46341549,Rome in 3 Days | 3 Days in Rome Trip Plan,"Want to see Rome in 3 days? Plan a 3-day trip in Rome with DK Trip Planner, including St Peter’s and Piazza Navona.",&#169;Fotolia.com/Iakov Kalinin,"Flamboyant Fontana del Moro, Piazza Navona",piazza_navona_rome_fotolia_46341549,
rome_itinerary_0002_02,Rome,3 Days in Rome,Be awed by the magificent interiors of the Pantheon,Admire the art collection of the Borghese family,Make a wish at the Trevi Fountain,"Soak up the atmosphere in Rome’s loveliest square, Piazza Navona",2,,,EUR,,1,,"<p>Relive Rome&rsquo;s glorious past by roaming through the ancient paths, grandiose arches and solitary columns of the <strong>Forum</strong>. Explore the <strong>Palatine</strong>, and then climb the terraces of the imposing <strong>Colosseum</strong>.</p>","<p>For lunch, sample simple, traditional cooking at <strong>I Clementini</strong>.</p>","<p>See layers of history at <strong>San Clemente</strong>, then walk across <strong>Circus Maximus</strong> to the beautifully simple church <strong>Santa Maria in Cosmedin</strong>. Bustling <strong>Campo de&rsquo; Fiori</strong> and lively Trastevere are a pleasant stroll away. Don&rsquo;t miss <strong>Santa Maria in Trastevere</strong>, with its remarkable mosaics by Pietro Cavallini.</p>",,"Forum, Palatine, Colosseum",I Clementini,"San Clemente, Circus Maximus, Santa Maria in Cosmedin, Campo de’ Fiori, Santa Maria in Trastevere",,"rome_sight_0795, rome_sight_0568, rome_sight_0173",rome_sight_0357,"rome_sight_0817, rome_sight_0161, rome_sight_0972, rome_sight_0102, rome_sight_0978",,piazza_navona_rome_fotolia_46341549,Rome in 3 Days | Rome Day 2,"Want to see Rome in 3 days? Plan day 2 of your trip to Rome with DK Trip Planner, including St Peter’s and Piazza Navona.",&#169;Fotolia.com/Iakov Kalinin,"Flamboyant Fontana del Moro, Piazza Navona",piazza_navona_rome_fotolia_46341549,
rome_itinerary_0002_03,Rome,3 Days in Rome,Be awed by the magificent interiors of the Pantheon,Admire the art collection of the Borghese family,Make a wish at the Trevi Fountain,"Soak up the atmosphere in Rome’s loveliest square, Piazza Navona",2,,,EUR,,2,,"<p>Reserve in advance to visit the magnificent <strong>Galleria Borghese</strong>, with its masterpieces by Bernini. Afterwards, make your way to <strong>Piazza del Popolo</strong> to marvel at its towering obelisk and fantastic churches. Join the crowds on the <strong>Spanish Steps</strong>, then throw a coin in the <strong>Trevi Fountain</strong>, a short distance away.</p>","<p><strong>Vineria Il Chianti</strong> is a great place for lunch, with delicious cheese and salami platters on the menu.</p>","<p>Stroll to the <strong>Capitoline Museums</strong> to visit the world&rsquo;s first public museum, Palazzo Nuovo, for Greek and Roman sculpture, and the Palazzo dei Conservatori for paintings by great artists such as Titian, Veronese, Rubens and Caravaggio. Stop off at <strong>Il Vittoriano</strong> nearby for some truly magnificent views of the city.</p>",,"Galleria Borghese, Piazza del Popolo, Spanish Steps, Trevi Fountain",Vineria Il Chianti,"Capitoline Museums, Il Vittoriano",,"rome_sight_0515, rome_sight_0687, rome_sight_1047, rome_sight_1128",rome_sight_0364,"rome_sight_0109, rome_sight_0384",,piazza_navona_rome_fotolia_46341549,Rome in 3 Days | Rome Day 3,"Want to see Rome in 3 days? Plan day 3 of your trip to Rome with DK Trip Planner, including St Peter’s and Piazza Navona.",&#169;Fotolia.com/Iakov Kalinin,"Flamboyant Fontana del Moro, Piazza Navona",piazza_navona_rome_fotolia_46341549,
rome_itinerary_0003_01,Rome,5 Days in Rome,View Michelangelo’s stunning <em>Piet&agrave;</em> in St Peter’s basilica,Cycle along the monument-lined Via Appia Antica,Wander the historic square Campo de&rsquo; Fiori,Stand at the top of Il Vittoriano for incredible views,2,,,EUR,,0,"<p>Five days in Rome affords enough time to really see the city. Follow this itinerary for a comprehensive guide to the capital, including all the major sights and attractions alongside some more unusual things to see and do. From <strong>St Peter&rsquo;s </strong>basilica to <strong>Il Vittoriano</strong>, we&rsquo;ve cherry-picked the highlights. You can add, edit, or remove all of our choices to customize the trip too.</p>","<p>Walk in the footsteps of popes through the art-filled <strong>Vatican Museums</strong> to the Sistine Chapel. Stare in wonder at its breathaking frescoed ceiling by Michelangelo. Next, take in the treasures of <strong>St Peter&rsquo;s</strong>, with Michelangelo&rsquo;s famous sculpture <em>Piet&agrave;</em>, his soaring dome and Bernini&rsquo;s bronze masterpiece baldacchino. Book a tour of the necropolis where St Peter is buried.</p>",<p>Eat lunch at <strong>Da Benito e Gilberto</strong>. Choose between classic pasta dishes and seafood delicacies.</p>,"<p>Visit the ancient, medieval and Renaissance site of <strong>Castel Sant&rsquo;Angelo</strong>, before crossing the river to the French national church <strong>San Luigi dei Francesi</strong>, where three Caravaggio masterworks are on display.</p>",,"Vatican Museums, St Peter’s",Da Benito e Gilberto,"Castel Sant’Angelo, San Luigi dei Francesi",,"rome_sight_1162, rome_sight_1053",rome_sight_0194,"rome_sight_0129, rome_sight_0847",,via_appia_antica_rome_dk_AL593334,Rome in 5 Days | 5 Days in Rome Trip Plan,"Want to see Rome in 5 days? Plan a 5-day trip in Rome with DK Trip Planner, including Santa Sabina and the botanical gardens.",&#169;dkimages, Via Appia Antica,via_appia_antica_rome_dk_AL593334,
rome_itinerary_0003_02,Rome,5 Days in Rome,View Michelangelo’s stunning <em>Piet&agrave;</em> in St Peter’s basilica,Cycle along the monument-lined Via Appia Antica,Wander the historic square Campo de&rsquo; Fiori,Stand at the top of Il Vittoriano for incredible views,2,,,EUR,,1,,"<p>Take the lift to the top of <strong>Il Vittoriano</strong> for wonderful views, and to check out the layout of the ruins of the <strong>Forum</strong>, the <strong>Colosseum </strong>and the <strong>Palatine</strong>. Then head down to see the ancient remains of these amazing historic sites close up.</p>","<p>Pause for lunch at <strong>0,75</strong>, a small <em>enoteca</em> with friendly staff.</p>","<p>Marvel at the sheer enormity of <strong>Circus Maximus</strong>; it was once Rome&rsquo;s largest stadium, but today it is no more than a long, grassy esplanade. Just around the corner, find Bocca della Verit&agrave; in <strong>Santa Maria in Cosmedin</strong>, and visit the well-preserved <strong>Temples of the Forum Boarium</strong>. Explore the much-recycled <strong>Theatre of Marcellus</strong> and finish with a stroll around the <strong>Jewish Ghetto</strong>.</p>",,"Il Vittoriano, Forum, Colosseum, Palatine","0,75","Circus Maximus, Santa Maria in Cosmedin, Temples of the Forum Boarium, Theatre of Marcellus, Jewish Ghetto",,"rome_sight_0384, rome_sight_0795, rome_sight_0173, rome_sight_0568",rome_sight_0003,"rome_sight_0161, rome_sight_0972, rome_sight_1082, rome_sight_1093, rome_sight_0397",,via_appia_antica_rome_dk_AL593334,Rome in 5 Days | Rome Day 2,"Want to see Rome in 5 days? Plan day 2 of your trip to Rome with DK Trip Planner, including Santa Sabina and the botanical gardens.",&#169;dkimages, Via Appia Antica,via_appia_antica_rome_dk_AL593334,
rome_itinerary_0003_03,Rome,5 Days in Rome,View Michelangelo’s stunning <em>Piet&agrave;</em> in St Peter’s basilica,Cycle along the monument-lined Via Appia Antica,Wander the historic square Campo de&rsquo; Fiori,Stand at the top of Il Vittoriano for incredible views,2,,,EUR,,2,,"<p>Stroll through leafy <strong>Villa Borghese</strong> to work up an appetite for the glorious art at the <strong>Galleria Borghese</strong>. Check out the panoramic view from the <strong>Pincio Gardens</strong> before winding down to <strong>Piazza del Popolo</strong>. Explore the square&rsquo;s famous church, <strong>Santa Maria del Popolo</strong>, with its works by Caravaggio and Raphael. The elegant Rococo <strong>Spanish Steps</strong> are just around the corner.</p>","<p>Head to <strong>Im&agrave;go</strong>, at the top of the Spanish Steps, for creative Italian cuisine and exceptional views.</p>","<p>Treat yourself to an ice cream from <strong>San Crispino</strong> en route to the iconic <strong>Trevi Fountain</strong>. Continue your walk at a leisurely pace to the <strong>Pantheon</strong> to explore its airy interiors. Next, visit the historic square <strong>Campo de&rsquo; Fiori</strong> and walk across <strong>Ponte Sisto</strong> to gaze at medieval mosaics in <strong>Santa Maria in Trastevere</strong>.</p>",,"Villa Borghese, Galleria Borghese, Pincio Gardens, Piazza del Popolo, Santa Maria del Popolo, Spanish Steps",Imàgo,"San Crispino, Trevi Fountain, Pantheon, Campo de’ Fiori, Ponte Sisto, Santa Maria in Trastevere",,"rome_sight_1211, rome_sight_0515, rome_sight_0726, rome_sight_0687, rome_sight_0941, rome_sight_1047",rome_sight_0388,"rome_sight_0828, rome_sight_1128, rome_sight_0664, rome_sight_0102, rome_sight_0758, rome_sight_0978",,via_appia_antica_rome_dk_AL593334,Rome in 5 Days | Rome Day 3,"Want to see Rome in 5 days? Plan day 3 of your trip to Rome with DK Trip Planner, including Santa Sabina and the botanical gardens.",&#169;dkimages, Via Appia Antica,via_appia_antica_rome_dk_AL593334,
rome_itinerary_0003_04,Rome,5 Days in Rome,View Michelangelo’s stunning <em>Piet&agrave;</em> in St Peter’s basilica,Cycle along the monument-lined Via Appia Antica,Wander the historic square Campo de&rsquo; Fiori,Stand at the top of Il Vittoriano for incredible views,2,,,EUR,,3,,"<p>Visit the lowest level of <strong>San Clemente</strong>, where the ancient rites of Mithraism were practised. Not far away, the <strong>Baths of Caracalla</strong> give an idea of ancient Roman bathing facilities. The baths were completed by Emperor Caracalla in AD 217, and could hold up to 1,600 bathers at any one time.</p>",<p>Grab a bite to eat at <strong>La Taverna dei 40</strong>.</p>,<p>Ride a bike or take a walk along <strong>Via Appia Antica</strong>. Sights along the way include the <strong>Tomb of Cecilia Metella</strong> and lots of spine-chilling catacombs.</p>,,"San Clemente, Baths of Caracalla",La Taverna dei 40,"Via Appia Antica, Tomb of Cecilia Metella",,"rome_sight_0817, rome_sight_0069",rome_sight_0437,"rome_sight_1170, rome_sight_1104",,via_appia_antica_rome_dk_AL593334,Rome in 5 Days | Rome Day 4,"Want to see Rome in 5 days? Plan day 4 of your trip to Rome with DK Trip Planner, including Santa Sabina and the botanical gardens.",&#169;dkimages, Via Appia Antica,via_appia_antica_rome_dk_AL593334,
rome_itinerary_0003_05,Rome,5 Days in Rome,View Michelangelo’s stunning <em>Piet&agrave;</em> in St Peter’s basilica,Cycle along the monument-lined Via Appia Antica,Wander the historic square Campo de&rsquo; Fiori,Stand at the top of Il Vittoriano for incredible views,2,,,EUR,,4,,"<p>The parkland on the other side of Circus Maximus from the Palatine Hill conceals exquisite early churches and other gems. Start on the south side of Circus Maximus and head up the hill to the <strong>Aventine Hill Gardens</strong> and its rose garden. In spring and summer, few places in Rome radiate such beauty. Continue along the old wall and enter Parco Savello&rsquo;s orange garden to take in the view from the parapet. Next door is <strong>Santa Sabina</strong>. Use a torch and binoculars to scrutinize the carved wooden doors and the Crucifixion scene. Stop next at Piranesi&rsquo;s <strong>Piazza dei Cavalieri di Malta</strong> and peer through the celebrated keyhole for a view of St Peter&rsquo;s. Wind down Via di Sant&rsquo; Alessio until Viale Aventino and <strong>San Saba</strong>. Take time to appreciate the notorious St Nicholas fresco on the left wall. In the <strong>Parco della Resistenza dell&rsquo;8 Settembre </strong>you can buy a <em>gelato</em> in the park&rsquo;s caf&eacute; and gaze at the 3rd-century <strong>Aurelian Wall</strong>. Cross over to the <strong>Protestant Cemetery</strong>, pay your respects at the graves of English poets Shelley and Keats, pause to reflect on the splendid Pyramid of Caius Cestius and leave your donation in the box as you exit.</p>","<p><strong>Volpetti</strong> is a fabulous choice for lunch, with made-to-order gourmet sandwiches.</p>","<p>Spend a couple of hours exploring Rome’s tranquil <strong>Botanical Gardens</strong>, which contain over 7,000 plant species from all over the world. Round off the afternoon with a stroll around <strong>Janiculum Hill</strong>. A climb to the top is rewarded by fabulous views over the city.</p>","<p>Treat yourself to dinner at <strong>Antico Arco</strong>, where truffles, wild strawberries and other delights are on the menu.</p>","Aventine Hill Gardens, Santa Sabina, Piazza dei Cavalieri di Malta, San Saba, Parco della Resistenza dell’8 Settem­bre, Aurelian Wall and Porta San Sebastiano, Protestant Cemetery, Pyramid of Caius Cestius  ",Volpetti,"Botanical Gardens, Janiculum Hill",Antico Arco,"rome_sight_0313, rome_sight_1001, rome_sight_0683, rome_sight_0873, rome_sight_0672, rome_sight_0055, rome_sight_0775, ",rome_sight_1246,"rome_sight_0082, rome_sight_0394",rome_sight_0035,via_appia_antica_rome_dk_AL593334,Rome in 5 Days | Rome Day 5,"Want to see Rome in 5 days? Plan day 5 of your trip to Rome with DK Trip Planner, including Santa Sabina and the botanical gardens.",&#169;dkimages, Via Appia Antica,via_appia_antica_rome_dk_AL593334,
