poiID,type,poiName,overview,xmlID,street,town,postcode,area,county,country,telephone,telephoneTitle1,telephone1,telephoneDetail1,telephoneTitle2,telephone2,telephoneDetail2,telephoneTitle3,telephone3,telephoneDetail3,telephoneTitle4,telephone4,url,train ,tube,tram,bus,openingTimes,monthsClosed,daysClosed,wheelchairAccess,wheelchairAccessText,foodAndDrink,Shop,guidedTours,audioTours,toursText,Price - to be deleted once entered,adult,concessions,child,childText,priceText,currency,lat,long,indoor,timeInMins,unmissable,topChoice,theme,seoURL,metaTITLE,metaDESC,taxonomy - to be deleted later,cuisine,priceCat,additional_info,whatsOnTitle1,whatsOnTicketPrice1,whatsOnTheme1,whatsOnDescription1,boxOfficeTelephone1,whatsOnURL1,whatsOnStartDate1,whatsOnEndDate1,whatsOnRepeat1,whatsOnTitle2,whatsOnTicketPrice2,whatsOnTheme2,whatsOnDescription2,boxOfficeTelephone2,whatsOnURL2,whatsOnStartDate2,whatsOnEndDate2,whatsOnRepeat2,whatsOnTitle3,whatsOnTicketPrice3,whatsOnTheme3,whatsOnDescription3,boxOfficeTelephone3,whatsOnURL3,whatsOnStartDate3,whatsOnEndDate3,whatsOnRepeat3,whatsOnTitle4,whatsOnTicketPrice4,whatsOnTheme4,whatsOnDescription4,boxOfficeTelephone4,whatsOnURL4,whatsOnStartDate4,whatsOnEndDate4,whatsOnRepeat4,whatsOnTitle5,whatsOnTicketPrice5,whatsOnTheme5,whatsOnDescription5,boxOfficeTelephone5,whatsOnURL5,whatsOnStartDate5,whatsOnEndDate5,whatsOnRepeat5,whatsOnTitle6,whatsOnTicketPrice6,whatsOnTheme6,whatsOnDescription6,boxOfficeTelephone6,whatsOnURL6,whatsOnStartDate6,whatsOnEndDate6,whatsOnRepeat6,whatsOnTitle7,whatsOnTicketPrice7,whatsOnTheme7,whatsOnDescription7,boxOfficeTelephone7,whatsOnURL7,whatsOnStartDate7,whatsOnEndDate7,whatsOnRepeat7,whatsOnTitle8,whatsOnTicketPrice8,whatsOnTheme8,whatsOnDescription8,boxOfficeTelephone8,whatsOnURL8,whatsOnStartDate8,whatsOnEndDate8,whatsOnRepeat8,whatsOnTitle9,whatsOnTicketPrice9,whatsOnTheme9,whatsOnDescription9,boxOfficeTelephone9,whatsOnURL9,whatsOnStartDate9,whatsOnEndDate9,whatsOnRepeat9,whatsOnTitle10,whatsOnTicketPrice10,whatsOnTheme10,whatsOnDescription10,boxOfficeTelephone10,whatsOnURL10,whatsOnStartDate10,whatsOnEndDate10,whatsOnRepeat10,whatsOnTitle11,whatsOnTicketPrice11,whatsOnTheme11,whatsOnDescription11,boxOfficeTelephone11,whatsOnURL11,whatsOnStartDate11,whatsOnEndDate11,whatsOnRepeat11,whatsOnTitle12,whatsOnTicketPrice12,whatsOnTheme12,whatsOnDescription12,boxOfficeTelephone12,whatsOnURL12,whatsOnStartDate12,whatsOnEndDate12,whatsOnRepeat12,whatsOnTitle13,whatsOnTicketPrice13,whatsOnTheme13,whatsOnDescription13,boxOfficeTelephone13,whatsOnURL13,whatsOnStartDate13,whatsOnEndDate13,whatsOnRepeat9,whatsOnTitle14,whatsOnTicketPrice14,whatsOnTheme14,whatsOnDescription14,boxOfficeTelephone14,whatsOnURL14,whatsOnStartDate14,whatsOnEndDate14,whatsOnRepeat9,whatsOnTitle15,whatsOnTicketPrice15,whatsOnTheme15,whatsOnDescription15,boxOfficeTelephone15,whatsOnURL15,whatsOnStartDate15,whatsOnEndDate15,whatsOnRepeat15,whatsOnTitle16,whatsOnTicketPrice16,whatsOnTheme16,whatsOnDescription16,boxOfficeTelephone16,whatsOnURL16,whatsOnStartDate16,whatsOnEndDate16,whatsOnRepeat16,whatsOnTitle17,whatsOnTicketPrice17,whatsOnTheme17,whatsOnDescription17,boxOfficeTelephone17,whatsOnURL17,whatsOnStartDate17,whatsOnEndDate17,whatsOnRepeat17,whatsOnTitle18,whatsOnTicketPrice18,whatsOnTheme18,whatsOnDescription18,boxOfficeTelephone18,whatsOnURL18,whatsOnStartDate18,whatsOnEndDate18,whatsOnRepeat18,whatsOnTitle19,whatsOnTicketPrice19,whatsOnTheme19,whatsOnDescription19,boxOfficeTelephone19,whatsOnURL19,whatsOnStartDate19,whatsOnEndDate19,whatsOnRepeat19,whatsOnTitle20,whatsOnTicketPrice20,whatsOnTheme20,whatsOnDescription20,boxOfficeTelephone20,whatsOnURL20,whatsOnStartDate20,whatsOnEndDate20,whatsOnRepeat20,whatsOnTitle21,whatsOnTicketPrice21,whatsOnTheme21,whatsOnDescription21,boxOfficeTelephone21,whatsOnURL21,whatsOnStartDate21,whatsOnEndDate21,whatsOnRepeat21,related
rome_sight_0002,catalogue,‘Gusto,"<p><strong>&lsquo;Gusto</strong> is the trendiest thing going: a split-level restaurant, pizzeria and Thai wine bar. Come on a warm evening for alfresco dining in the piazza.</p>",TT_ROME117PLAEAT_003,Piazza Augusto Imperatore 9,Rome,00186,Villa Borghese & Northern Rome,,Italy,06 322 6273,,,,,,,,,,,,www.gusto.it,,Spagna,,"81, 590, 628, 926",Daily,,,TRUE,,,,,,,"For a three-course meal for one with half a bottle of wine (or equivalent meal), taxes and extra charges. : €40–50",,,,,<p>Free entry</p>,EUR,41.90657186,12.4760944733333,TRUE,,FALSE,FALSE,Food and Drink,food-and-drink,,,The Spanish Steps and Villa Borghese | Places to Eat | Restaurant |,Modern Italian,£,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_sight_0003,,"0,75","<p>Named for the size of a bottle of wine, the friendly <strong>0,75</strong> offers a meal at nearly any time of day. Reasonably priced for its central location.</p>",,Via dei Cerchi 65,Rome,00186,Ancient Rome,,Italy,06 687 5706,,,,,,,,,,,,www.075roma.com,,Circo Massimo,Aventino-Circo Massimo,"81, 85, 87, 122, 160, 160F, 628, C3",Daily,,,TRUE,,,,,,,,,,,,<p>Free entry</p>,EUR,41.8879,12.484038,TRUE,,FALSE,FALSE,Food and Drink,food-and-drink,,,,Enoteche,£,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_sight_0005,catalogue,Abbey Theatre Irish Pub,"<p>Comfortable and cozy, the <strong>Abbey Theatre Irish Pub</strong> is pleasantly removed from the hubbub of nightlife nearby. Basic snacks are served and wi-fi is available.</p>",TT_ROME088CHICAF_003,Via del Governo Vecchio 51–53,Rome,00186,Piazza Navona & Campo de’ Fiori,,Italy,06 6861 341,,,,,,,,,,,,abbey-rome.com,,Barberini,,"40, 46, 62, 64, 87, 186, 492, 916, 90N",Daily,,,TRUE,,,,,,,,,,,,<p>Free entry</p>,EUR,41.8983277588474,12.4703799807517,TRUE,,FALSE,FALSE,Cafés and Bars,food-and-drink,,,Around Piazza Navona | Chic Cafés and Bars | Restaurant |,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_sight_0006,,Abruzzi ai SS Apostoli,<p><strong>Abruzzi ai SS Apostoli</strong>&rsquo;s wide selection of cold appetizers make an excellent start to a meal of specialities from the Abruzzo region.</p>,,Via del Vaccaro 1 ,Rome,00187,Piazza di Spagna & Trevi Fountain,,Italy,06 679 3897,,,,,,,,,,,,,,,,"53, 62, 63, 81, 83, 85, 117, 119, 160, 160F, 175, 492, 628, N4, N5",Daily,Aug,,FALSE,,,,,,,,,,,,<p>Free entry</p>,EUR,41.898586,12.482711,TRUE,,FALSE,FALSE,Food and Drink,food-and-drink,,,,Regional Italian,£,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_sight_0007,catalogue,Accademia Nazionale di San Luca,"<p>Named after St Luke, who was supposedly a painter, <strong>Accademia Nazionale di San Luca</strong> is Rome&rsquo;s academy of fine arts. Appropriately, the gallery contains a work of <em>St Luke Painting a Portrait of the Virgin</em> by Raphael and his followers.</p><p>The academy&rsquo;s heyday was in the 17th and 18th centuries, when many members gave their artworks to the collection, including Canova who donated a model for his famous marble group, <em>The Three Graces</em>. Of particular interest are the academy’s three fascinating self-portraits painted by women: the 17th-century Italian Lavinia Fontana; the 18th-century Swiss Angelica Kauffmann, whose painting was copied from a portrait of her by Joshua Reynolds; and Elisabeth Vig&eacute;e-Lebrun, the pre-1789 Revolution French painter.</p>",EWTG_ROME160ACCNAZ,Piazza dell’Accademia di San Luca 77,Rome,00187,Piazza di Spagna & Trevi Fountain,,Italy,06 679 8850,,,,,,,,,,,,,,Barberini,,"52, 53, 61, 62, 63, 71, 80, 95, 116, 119",10am–12:30pm Mon–Sat,,Sun,TRUE,Partial,,,,,,,0,0,0,,<p>Free entry</p>,EUR,41.90155,12.483609,TRUE,,FALSE,FALSE,Art Galleries and Museums,art-galleries,,,QUIRINAL |,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_sight_0009,catalogue,Acqua e Farina?,"<p><strong>Acqua e Farina?</strong> is true to its name &ndash; practically everything on the menu, from savouries to sweets, is concocted from water and flour into pastry-based treats.</p>",TT_ROME125TRAROM_008,Piazza Orazio Giustiniani 2,Rome,00153,Aventine & Caracalla,,Italy,06 574 1382,,,,,,,,,,,,,Porta S. Paolo,Piramide,Marmorata-Galvani,719,Daily,,,TRUE,Partial; one step but staff will assist,,,,,,"For a three-course meal for one with half a bottle of wine (or equivalent meal), taxes and extra charges. : under €30",,,,,<p>Free entry</p>,EUR,41.8761602233333,12.47383706,TRUE,,FALSE,FALSE,Food and Drink,food-and-drink,,,Ancient Rome | Traditional Roman Restaurants | Restaurant |,Traditional Roman,£,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_sight_0010,catalogue,Africa,"<p>If you’re fed up of pizza and pasta, head to <strong>Africa</strong> to scoop up spicy vegetables and meats with spongy bread. This Ethiopian restaurant is a great place for a quick, cheap lunch or dinner.</p>",TT_ROME137PLAEAT_010,Via Gaeta 26,Rome,00185 ,Piazza di Spagna & Trevi Fountain,,Italy,06 494 1077,,,,,,,,,,,,,Termini,"Termini, Repubblica, Castro Pretorio",Termini,"16, 75, 140, 492",Tue–Sun,,,TRUE,,,,,,,"For a three-course meal for one with half a bottle of wine (or equivalent meal), taxes and extra charges. : under €30",,,,,<p>Free entry</p>,EUR,41.9054272917235,12.5018102440838,TRUE,,FALSE,FALSE,Food and Drink,food-and-drink,,,The Quirinal and Via Veneto | Places to Eat | Restaurant |,International,£,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_sight_0011,catalogue,Agata e Romeo,"<p>The eponymous owners of <strong>Agata e Romeo</strong> divide the labour expertly, she as chef and he as <em>ma&icirc;tre d&rsquo;</em>. Their Liberty-style restaurant near Santa Maria Maggiore serves up creative Roman cuisine &ndash; rich and highly original concoctions of meat, fish and fresh vegetables, heavenly desserts and a menu <em>degustazione</em> for a sampling of each day&rsquo;s masterworks. Reservations are essential.</p>","TT_ROME074RESTAU_002_R12, TT_ROME131PLAEAT_001",Via Carlo Alberto 45,Rome,00185 ,Esquiline & Lateran,,Italy,06 446 6115,,,,,,,,,,,,www.agataeromeo.it/,Termini Laziali,Vittorio Emanuele,Farini,"71, 360, 590, 649","Daily, Mon dinner only, Sat lunch only",,,TRUE,,,,,,,"For a three-course meal for one with half a bottle of wine (or equivalent meal), taxes and extra charges. : over €60",,,,,<p>Free entry</p>,EUR,41.896096,12.501261,TRUE,,FALSE,Food and Drink,Food and Drink,food-and-drink,Agata e Romeo | Agata e Romeo Restaurant Rome,"Agata e Romeo Resturant in Rome serves up creative and original Roman cuisine, with a tasting menu. Plan a visit to Agata e Romeo today. ",,Fine Dining,££,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rome_sight_0012,catalogue,Agustarello,"<p>Roman-style, heavy-duty dishes are the standard at <strong>Agustarello</strong>. Sample tripe, <em>coda alla vaccinara</em> (oxtail), <em>lingua</em> (tongue) and other peasant fare.</p>",TT_ROME125TRAROM_002,Via Giovanni Branca 100,Rome,00153,Aventine & Caracalla,,Italy,06 574 6585,,,,,,,,,,,,,,Piramide,Marmorata-Vanvitelli,"83, 121, 170, 781",Mon–Sat,,Sun,TRUE,,,,,,,"For a three-course meal for one with half a bottle of wine (or equivalent meal), taxes and extra charges. : under €30",,,,,<p>Free entry</p>,EUR,41.879423,12.473499,TRUE,,FALSE,FALSE,Food and Drink,food-and-drink,,,Ancient Rome | Traditional Roman Restaurants | Restaurant |,Traditional Roman,£,additional_info: No credit cards |,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
