poiID,starSite,xmlID,Image to include,assetName,SEO file name,credit,caption,type,info,labelID,cutawayNumber,title,description,imageID,highlights,imageName,leftPosition,topPosition
sanfrancisco_sight_0341,Golden Gate Bridge,,TRUE,AL364512,golden_gate_bridge_with_traffic_san_francisco_dk_AL364512.jpg,&#169;dkimages,traffic,gallery,,1,,Traffic,"<p>Every year approximately 40 million vehicles cross the bridge; every day about 112,000 vehicles use it.</p>",,,golden_gate_bridge_with_traffic_san_francisco_dk_AL364512,,
sanfrancisco_sight_0341,Golden Gate Bridge,,TRUE,AL1024040,golden_gate_bridge_pedestrians_san_francisco_dk_AL1024040.jpg,&#169;dkimages,pedestrians,gallery,,2,,A Stroll Across the Bridge,"<p>The bridge has six lanes for vehicles, plus pedestrian and cycle paths.</p>",,,golden_gate_bridge_pedestrians_san_francisco_dk_AL1024040,,
sanfrancisco_sight_0341,Golden Gate Bridge,,TRUE,AL1024037,golden_gate_bridge_from_crissy_filed_san_francisco_dk_AL1024037.jpg,&#169;dkimages,"Golden Gate Bridge from Crissy Field, San Francisco, USA",gallery,,3,,Golden Gate Bridge ,<p>View of the magnificent Golden Gate Bridge from Crissy Field.</p>,,,golden_gate_bridge_from_crissy_filed_san_francisco_dk_AL1024037,,
sanfrancisco_sight_0297,Fisherman’s Wharf,,TRUE,AL557718,fisherman_s_wharf_sign_san_francisco_dk_AL557718.jpg,&#169;dkimages,sign,gallery,,1,,Sign,<p>Sign welcoming visitors and locals to Fisherman’s Wharf.</p>,,,fisherman_s_wharf_sign_san_francisco_dk_AL557718,,
sanfrancisco_sight_0297,Fisherman’s Wharf,,TRUE,AL472951,fisherman_s_sealions_san_francisco_dk_AL472951.jpg,&#169;dkimages,sealion,gallery,from AL,2,,Sunbathing Sea Lions,"<p>Sea lions sunning on Pier 39’s boat docks are the delight of tourists, but a nuisance for boat owners. The colony arrives around January.</p>",,,fisherman_s_sealions_san_francisco_dk_AL472951,,
sanfrancisco_sight_0297,Fisherman’s Wharf,,TRUE,AL472944,fisherman_s_crabs_san_francisco_dk_AL472944.jpg,&#169;dkimages,fresh crabs,gallery,from AL,3,,Dungeness Crab,<p>Outdoor crab stands serve San Francisco’s celebrated Dungeness crab from November to June.</p>,,,fisherman_s_crabs_san_francisco_dk_AL472944,,
sanfrancisco_sight_0297,Fisherman’s Wharf,,TRUE,23523451,fisherman_s_wharf_pier_39_san_francisco_dreamstime_23523451.jpg,&#169;Dreamstime.com/Videowokart,"Pier 39 on August 24, 2011 in San Francisco, CA. Many tourists visited San Francisco in summer",gallery,,4,,Pier 39,"<p>This collection of restaurants, shops, and amusements, set against a backdrop of spectacular bay views, is one of the city’s more popular tourist attractions.</p>",,,fisherman_s_wharf_pier_39_san_francisco_dreamstime_23523451,,
sanfrancisco_sight_0019,Alcatraz Island,,TRUE,,a_alcatraz_san_francisco_artwork.jpg,&#169;dkimages,,cutaway-artwork,,,1,,,,,a_alcatraz_san_francisco_artwork,,
sanfrancisco_sight_0019,Alcatraz Island,EWTG_SANFRA084ALCISL_009,FALSE,AL1024140,alcatraz_warden_house_san_francisco_dk_AL1024140.jpg,&#169;dkimages,,cutaway,from AL,,1,Warden’s House,<p>This house suffered extensive fire damage during the American Indian occupation of 1969&ndash;71.</p>,,,alcatraz_warden_house_san_francisco_dk_AL1024140,40.3,41.8
sanfrancisco_sight_0019,Alcatraz Island,EWTG_SANFRA084ALCISL_011,TRUE,AL557746,alcatraz_cell_block_san_francisco_dk_AL557746.jpg,&#169;dkimages,,cutaway,,,1,Cell Block,"<p>The cell house contains four free-standing cell blocks. No cell has an outside wall or ceiling. The dungeon-like foundation of the &ldquo;Big House,&rdquo; as inmates called the main prison block, shares the original foundation of the old military fortress.</p>",,,alcatraz_cell_block_san_francisco_dk_AL557746,50,27
sanfrancisco_sight_0019,Alcatraz Island,,TRUE,AL1024143,alcatraz_lighthouse_san_francisco_dk_AL1024143.jpg,&#169;dkimages,,cutaway,from AL,,1,Lighthouse,"<p>The original Alcatraz lighthouse, the first on the Pacific coast of the United States, was activated in 1854 and replaced in 1909 by the present structure.</p>",,,alcatraz_lighthouse_san_francisco_dk_AL1024143,39.3,28.6
sanfrancisco_sight_0019,Alcatraz Island,EWTG_SANFRA084ALCISL_007,TRUE,AL557749,alcatraz_exercise_yard_san_francisco_dk_AL557749.jpg,&#169;dkimages,,cutaway,,,1,Exercise Yard,<p>Meals and walks around the exercise yard were the highlights of a prisoner&rsquo;s day. The walled yard featured in films made at the prison.</p>,,,alcatraz_exercise_yard_san_francisco_dk_AL557749,67.7,23.8
sanfrancisco_sight_0019,Alcatraz Island,TT_SANFRA014ALCATR_007,TRUE,164236431,alcatraz_san_francisco_chapel_getty_164236431.jpg,&#169;Getty Images/Justin Sullivan,"Old photographs are posted in the former chapel at Alcatraz Island on March 21, 2013 in San Francisco, California. ",cutaway,,,1,Chapel,"<p>On top of the guardhouse, a Mission-style military chapel was built during the 1920s. It was used as living quarters and a school, as well as a chapel. During the post-1930s prison phase, the building was used to house prison staff.</p>",,,alcatraz_san_francisco_chapel_getty_164236431,64.8,47.1
sanfrancisco_sight_0019,Alcatraz Island,,FALSE,,,,,cutaway,,,1,Metal Detectors,<p>These checked the prisoners on their way to and from the dining hall and exercise yards. The &ldquo;machine&rdquo; on display in the Cell House is a prop from the film <em>Escape from Alcatraz</em>.</p>,,,#VALUE!,64.2,22
sanfrancisco_sight_0019,Alcatraz Island,,FALSE,,,,,cutaway,,,1,The Military Morgue,"<p>Tiny and cramped, the morgue is not open to the public.</p>",,,#VALUE!,67.7,28.8
sanfrancisco_sight_0019,Alcatraz Island,,FALSE,,,,,cutaway,,,1,The Officer’s Club,"<p>Dating from the days of Fort Alcatraz,&nbsp;the Officer’s Club also served as the recreation center during the federal prison days.</p>",,,#VALUE!,77.7,44.5
sanfrancisco_sight_0019,Alcatraz Island,,FALSE,,,,,cutaway,,,1,The Military Dorm,<p>This was built in 1933 for the use of the military prison guards.</p>,,,#VALUE!,67.2,48.5
sanfrancisco_sight_0019,Alcatraz Island,,FALSE,,,,,cutaway,,,1,Sally Port,"<p>Dating from 1857, this guardhouse was equipped with drawbridge and dry moat and defended the approach to Fort Alcatraz.</p>",,,#VALUE!,62.6,55.3
sanfrancisco_sight_0019,Alcatraz Island,,FALSE,,,,,cutaway,,,1,The Exhibit Area,"<p>Located in the old barracks building behind the ferry jetty, the exhibit area houses a bookstore and multimedia show providing a historical overview of Alcatraz, and an information counter.</p>",,,#VALUE!,56.8,57.8
sanfrancisco_sight_0019,Alcatraz Island,,TRUE,,alcatraz_san_francisco_artwork_interior.jpg,&#169;dkimages,,cutaway-artwork,needs work,,2,,,,,alcatraz_san_francisco_artwork_interior,,
sanfrancisco_sight_0019,Alcatraz Island,TT_SANFRA014ALCATR_004,TRUE,832-63767,alcatraz_san_francisco_control_room_rh_832_63767.jpg,&#169;Robert Harding/Image Broker/Ingo Schulz,,cutaway,,,2,Control Room,"<p>Reinforced to withstand a siege, this controlled the 24-hour electric security system.</p>",,,alcatraz_san_francisco_control_room_rh_832_63767,20.5,65
sanfrancisco_sight_0019,Alcatraz Island,TT_SANFRA014ALCATR_005_R12,TRUE,AL557761,alcatraz_d_block_san_francisco_dk_AL557761.jpg,&#169;dkimages,,cutaway,,,2,D Block,"<p>In the solitary confinement cells of D Block, prisoners had to endure hours of unrelieved boredom.</p>",,,alcatraz_d_block_san_francisco_dk_AL557761,35.3,30
sanfrancisco_sight_0019,Alcatraz Island,TT_SANFRA014ALCATR_008,TRUE,AL1024137,alcatraz_broadway_san_francisco_dk_AL1024137.jpg,&#169;dkimages,,cutaway,from AL,,2,Broadway,<p>The corridor that separates C and B blocks was nicknamed Broadway by prisoners after New York’s busiest thoroughfare.</p>,,,alcatraz_broadway_san_francisco_dk_AL1024137,28,60.8
sanfrancisco_sight_0019,Alcatraz Island,,TRUE,U1324805,alcatraz_san_francisco_mess_hall_corbis_U1324805.jpg,&#169;Corbis/Bettmann,Guard Standing at Alcatraz Mess Hall Door 14 April 1962,cutaway,,,2,Dining Room,"<p>The inmates were well fed, the better to quell rebellion. Note the sample menu on display at the kitchen entrance.</p>",,,alcatraz_san_francisco_mess_hall_corbis_U1324805,67.5,26.7
sanfrancisco_sight_0019,Alcatraz Island,,FALSE,,,,,cutaway,,,2,Gun Gallery,<p>Guards armed with pistols and rifles patrolled the caged walkways at the ends of the cell blocks.</p>,,,#VALUE!,62.6,32
